10                                                         
10000     Doorman Elevator Fitness_Center Cats_Allowed D...
100004    Laundry_In_Building Dishwasher Hardwood_Floors...
100007                               Hardwood_Floors No_Fee
100013                                              Pre-War
Name: features, dtype: object
((49352, 217), (74659, 217))
[0]	train-mlogloss:1.07834	test-mlogloss:1.07879
Multiple eval metrics have been passed: 'test-mlogloss' will be used for early stopping.

Will train until test-mlogloss hasn't improved in 20 rounds.
[388]	train-mlogloss:0.45314	test-mlogloss:0.545002
[389]	train-mlogloss:0.452947	test-mlogloss:0.544949
[390]	train-mlogloss:0.452721	test-mlogloss:0.544882
[391]	train-mlogloss:0.45247	test-mlogloss:0.54481
[392]	train-mlogloss:0.45226	test-mlogloss:0.544807
[393]	train-mlogloss:0.452082	test-mlogloss:0.544776
[394]	train-mlogloss:0.45187	test-mlogloss:0.544706
[395]	train-mlogloss:0.451632	test-mlogloss:0.544607
[396]	train-mlogloss:0.451437	test-mlogloss:0.544524
[397]	train-mlogloss:0.451133	test-mlogloss:0.54451
[398]	train-mlogloss:0.450836	test-mlogloss:0.544467
[399]	train-mlogloss:0.450612	test-mlogloss:0.54443
[400]	train-mlogloss:0.450412	test-mlogloss:0.54438
[401]	train-mlogloss:0.450226	test-mlogloss:0.544342
[402]	train-mlogloss:0.449958	test-mlogloss:0.544271
[403]	train-mlogloss:0.449777	test-mlogloss:0.544251
[404]	train-mlogloss:0.449557	test-mlogloss:0.544198
[405]	train-mlogloss:0.449373	test-mlogloss:0.544142
[406]	train-mlogloss:0.44914	test-mlogloss:0.544099
[407]	train-mlogloss:0.448966	test-mlogloss:0.544044
[408]	train-mlogloss:0.448793	test-mlogloss:0.543995
[409]	train-mlogloss:0.448519	test-mlogloss:0.543915
[410]	train-mlogloss:0.448342	test-mlogloss:0.543869
[411]	train-mlogloss:0.448129	test-mlogloss:0.543821
[412]	train-mlogloss:0.447981	test-mlogloss:0.543792
[413]	train-mlogloss:0.447773	test-mlogloss:0.543766
[414]	train-mlogloss:0.4475	test-mlogloss:0.543717
[415]	train-mlogloss:0.44732	test-mlogloss:0.543703
[416]	train-mlogloss:0.44707	test-mlogloss:0.543656
[417]	train-mlogloss:0.446876	test-mlogloss:0.543617
[418]	train-mlogloss:0.446591	test-mlogloss:0.543548
[419]	train-mlogloss:0.446313	test-mlogloss:0.54347
